Sample	Reference virus	Genus	Description	%Identity
GU-S098	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.62
GU-S099	JQ902104	badnavirus	Sweet potato badnavirus C	95.68
GU-S099	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
GU-S100	AB465608	potyvirus	Sweet potato feathery mottle virus	97.41
GU-S102	D86371	potyvirus	Sweet potato feathery mottle virus	90.68
GU-S102	GU207957	potyvirus	Sweet potato virus C	77.09
GU-S102	KF790759	potyvirus	Sweet potato virus G	73.82
GU-S104	AB439206	potyvirus	Sweet potato feathery mottle virus	94.28
GU-S104	GU207957	potyvirus	Sweet potato virus C	78.34
MO-AS003	FJ439797	badnavirus	Sugarcane bacilliform virus	77.63
MO-AS003	FJ560943	badnavirus	Sweet potato badnavirus A	94.49
MO-AS003	FJ560944	badnavirus	Sweet potato badnavirus B	91.81
MO-AS003	JQ902104	badnavirus	Sweet potato badnavirus C	80.46
MO-AS003	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.18
MO-AS003	AY523547	potyvirus	Sweet potato feathery mottle virus	97.73
MO-AS015	FJ560943	badnavirus	Sweet potato badnavirus A	80.38
MO-AS015	KF836892	badnavirus	Sweet potato badnavirus B	81.69
MO-AS015	JQ902104	badnavirus	Sweet potato badnavirus C	78.73
MO-AS015	AY523547	potyvirus	Sweet potato feathery mottle virus	98.64
MO-AS020	JQ902104	badnavirus	Sweet potato badnavirus C	81.08
MO-AS020	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.12
MO-AS020	AY523547	potyvirus	Sweet potato feathery mottle virus	96.55
MO-AS020	KF386015	potyvirus	Sweet potato virus C	94.09
MO-AS036	DQ866133	begomovirus	Ageratum yellow veinvirus	88.97
MO-AS036	AJ132548	begomovirus	Ipomoea yellow vein virus	93.75
MO-AS036	DQ644561	begomovirus	Merremia leaf curl virus	91.22
MO-AS036	DQ641695	begomovirus	Mimosa yellow leaf curl virus	93.21
MO-AS036	AB020977	begomovirus	Soybean crinkle leaf virus	91.3
MO-AS036	FJ560943	badnavirus	Sweet potato badnavirus A	98.42
MO-AS036	FJ560944	badnavirus	Sweet potato badnavirus B	96.5
MO-AS036	JQ902104	badnavirus	Sweet potato badnavirus C	95.74
MO-AS036	AY523547	potyvirus	Sweet potato feathery mottle virus	98.13
MO-AS036	HQ393444	begomovirus	Sweet potato golden vein associated virus	93.07
MO-AS036	HQ393460	begomovirus	Sweet potato leaf curl virus	93.56
MO-AS036	Z73124	ipomovirus	Sweet potato mild mottle virus	90.39
MO-AS036	FJ969831	begomovirus	Sweet potato mosaic virus	92.12
MO-AS036	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-AS036	JN613807	potyvirus	Sweet potato virus 2	81.7
MO-AS036	KF386015	potyvirus	Sweet potato virus C	96.45
MO-AS036	JN613805	potyvirus	Sweet potato virus G	95.59
MO-AS036	AB246171	begomovirus	Tobacco leaf curl virus	92.13
MO-AS036	JX416184	begomovirus	Tomato leaf curl virus	90.8
MO-AS049	EU839576	begomovirus	Ipomoea yellow vein virus	93.76
MO-AS049	DQ644561	begomovirus	Merremia leaf curl virus	93.73
MO-AS049	FJ560943	badnavirus	Sweet potato badnavirus A	88.03
MO-AS049	FJ560944	badnavirus	Sweet potato badnavirus B	92.78
MO-AS049	JQ902104	badnavirus	Sweet potato badnavirus C	82.28
MO-AS049	GQ268231	begomovirus	Sweet potato begomovirus	96.46
MO-AS049	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.14
MO-AS049	AF016366	potyvirus	Sweet potato feathery mottle virus	98.09
MO-AS049	HQ393444	begomovirus	Sweet potato golden vein associated virus	92.84
MO-AS049	JN657687	begomovirus	Sweet potato leaf curl virus	96.12
MO-AS049	FJ969831	begomovirus	Sweet potato mosaic virus	92.8
MO-AS049	KF386015	potyvirus	Sweet potato virus C	94.85
MO-AS049	JN613805	potyvirus	Sweet potato virus G	81.09
MO-AS065	FJ560943	badnavirus	Sweet potato badnavirus A	78.16
MO-AS065	KF836892	badnavirus	Sweet potato badnavirus B	86.97
MO-AS065	JQ902104	badnavirus	Sweet potato badnavirus C	83.81
MO-AS065	AY523547	potyvirus	Sweet potato feathery mottle virus	98.21
MO-AS068	FJ560944	badnavirus	Sweet potato badnavirus B	78.7
MO-AS068	JQ902104	badnavirus	Sweet potato badnavirus C	80.46
MO-AS068	AF016366	potyvirus	Sweet potato feathery mottle virus	94.57
MO-AS068	JN613807	potyvirus	Sweet potato virus 2	78.72
MO-AS068	JN613805	potyvirus	Sweet potato virus G	91.84
MO-AS068	JX401339	potyvirus	Zucchini yellow mosaic virus	86.89
MO-AS082	AY523547	potyvirus	Sweet potato feathery mottle virus	98.17
MO-AS082	FJ969831	begomovirus	Sweet potato mosaic virus	97.13
MO-BS006	KF836892	badnavirus	Sweet potato badnavirus B	97.96
MO-BS006	JQ902104	badnavirus	Sweet potato badnavirus C	95.42
MO-BS006	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.26
MO-BS006	AF016366	potyvirus	Sweet potato feathery mottle virus	97.7
MO-BS006	AJ783452	ipomovirus	Sweet potato mild mottle virus	91.01
MO-BS006	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS006	JN613807	potyvirus	Sweet potato virus 2	89.98
MO-BS006	GU207957	potyvirus	Sweet potato virus C	93.34
MO-BS006	JN613805	potyvirus	Sweet potato virus G	80.24
MO-BS006	AY459612	potyvirus	Sweet potato virus Y	96.49
MO-BS022	EU839578	begomovirus	Ipomoea yellow vein virus	94.19
MO-BS022	DQ644561	begomovirus	Merremia leaf curl virus	94.48
MO-BS022	FJ560943	badnavirus	Sweet potato badnavirus A	79.1
MO-BS022	KF836892	badnavirus	Sweet potato badnavirus B	86.61
MO-BS022	JQ902104	badnavirus	Sweet potato badnavirus C	96.1
MO-BS022	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.18
MO-BS022	AF016366	potyvirus	Sweet potato feathery mottle virus	98.23
MO-BS022	FJ969829	begomovirus	Sweet potato golden vein associated virus	94.18
MO-BS022	KF836891	begomovirus	Sweet potato leaf curl virus	95.57
MO-BS022	EF155970	ipomovirus	Sweet potato mild mottle virus	90.54
MO-BS022	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS022	KF386015	potyvirus	Sweet potato virus C	95.19
MO-BS024	KF836892	badnavirus	Sweet potato badnavirus B	93.96
MO-BS024	JQ902104	badnavirus	Sweet potato badnavirus C	88.97
MO-BS024	AF016366	potyvirus	Sweet potato feathery mottle virus	97.99
MO-BS024	FJ999763	ipomovirus	Sweet potato mild mottle virus	87.67
MO-BS024	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS024	JN613807	potyvirus	Sweet potato virus 2	91.5
MO-BS024	KF386015	potyvirus	Sweet potato virus C	93.27
MO-BS024	JN613805	potyvirus	Sweet potato virus G	94.28
MO-BS024	AY459612	potyvirus	Sweet potato virus Y	97.03
MO-BS038	FJ560943	badnavirus	Sweet potato badnavirus A	81.01
MO-BS038	FJ560944	badnavirus	Sweet potato badnavirus B	81.35
MO-BS038	JQ902104	badnavirus	Sweet potato badnavirus C	88.71
MO-BS038	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98
MO-BS038	AB465608	potyvirus	Sweet potato feathery mottle virus	97.67
MO-BS038	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS044	FJ560943	badnavirus	Sweet potato badnavirus A	88.55
MO-BS044	FJ560944	badnavirus	Sweet potato badnavirus B	88.87
MO-BS044	JQ902104	badnavirus	Sweet potato badnavirus C	96.15
MO-BS044	D86371	potyvirus	Sweet potato feathery mottle virus	96.83
MO-BS044	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS044	KF386015	potyvirus	Sweet potato virus C	94.32
MO-BS044	JN613805	potyvirus	Sweet potato virus G	95.21
MO-BS046	JQ902104	badnavirus	Sweet potato badnavirus C	76.56
MO-BS046	EF155987	potyvirus	Sweet potato feathery mottle virus	95.37
MO-BS046	GU207957	potyvirus	Sweet potato virus C	95.13
MO-BS047	EU839578	begomovirus	Ipomoea yellow vein virus	93.66
MO-BS047	DQ644561	begomovirus	Merremia leaf curl virus	93.34
MO-BS047	JQ902104	badnavirus	Sweet potato badnavirus C	99.53
MO-BS047	GQ268231	begomovirus	Sweet potato begomovirus	95.57
MO-BS047	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98
MO-BS047	AY523547	potyvirus	Sweet potato feathery mottle virus	97.46
MO-BS047	HQ393457	begomovirus	Sweet potato golden vein associated virus	93.89
MO-BS047	HQ393458	begomovirus	Sweet potato leaf curl virus	94.13
MO-BS047	FJ969831	begomovirus	Sweet potato mosaic virus	93.39
MO-BS047	JN613807	potyvirus	Sweet potato virus 2	97.18
MO-BS047	KF386015	potyvirus	Sweet potato virus C	93.83
MO-BS047	JN613805	potyvirus	Sweet potato virus G	97.74
MO-BS047	AY459607	potyvirus	Sweet potato virus Y	96.17
MO-BS073	KF836892	badnavirus	Sweet potato badnavirus B	97.71
MO-BS073	JQ902104	badnavirus	Sweet potato badnavirus C	95.65
MO-BS073	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
MO-BS073	AF016366	potyvirus	Sweet potato feathery mottle virus	97.6
MO-BS073	Z73124	ipomovirus	Sweet potato mild mottle virus	88.02
MO-BS073	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS073	JN613807	potyvirus	Sweet potato virus 2	89.6
MO-BS073	JX489166	potyvirus	Sweet potato virus C	96.96
MO-BS073	JN613805	potyvirus	Sweet potato virus G	77.92
MO-BS094	FJ560943	badnavirus	Sweet potato badnavirus A	82.55
MO-BS094	FJ560944	badnavirus	Sweet potato badnavirus B	96.53
MO-BS094	JQ902104	badnavirus	Sweet potato badnavirus C	90.08
MO-BS094	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
MO-BS094	S43451	potyvirus	Sweet potato feathery mottle virus	96.69
MO-BS094	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-BS094	JX489166	potyvirus	Sweet potato virus C	97.69
MO-CS019	EU839576	begomovirus	Ipomoea yellow vein virus	92.73
MO-CS019	DQ644561	begomovirus	Merremia leaf curl virus	92.16
MO-CS019	AB020977	begomovirus	Soybean crinkle leaf virus	90.78
MO-CS019	FJ560943	badnavirus	Sweet potato badnavirus A	79.8
MO-CS019	KF836892	badnavirus	Sweet potato badnavirus B	82.43
MO-CS019	JQ902104	badnavirus	Sweet potato badnavirus C	91.15
MO-CS019	AF016366	potyvirus	Sweet potato feathery mottle virus	98.35
MO-CS019	FJ969830	begomovirus	Sweet potato golden vein associated virus	92.31
MO-CS019	JN657686	begomovirus	Sweet potato leaf curl virus	95.57
MO-CS019	FJ969831	begomovirus	Sweet potato mosaic virus	93.38
MO-CS019	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-CS019	JX489166	potyvirus	Sweet potato virus C	94.71
MO-CS019	KF790759	potyvirus	Sweet potato virus G	95.25
MO-CS021	AM940137	begomovirus	Ageratum yellow veinvirus	91.09
MO-CS021	AJ270872	begomovirus	Cotton leaf curl virus	92.76
MO-CS021	AJ132548	begomovirus	Ipomoea yellow vein virus	93.13
MO-CS021	DQ644561	begomovirus	Merremia leaf curl virus	93.54
MO-CS021	DQ641696	begomovirus	Sida yellow vein virus	88.83
MO-CS021	JQ902104	badnavirus	Sweet potato badnavirus C	99.7
MO-CS021	GQ268230	begomovirus	Sweet potato begomovirus	93.91
MO-CS021	AY523547	potyvirus	Sweet potato feathery mottle virus	98.28
MO-CS021	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.22
MO-CS021	JQ621844	begomovirus	Sweet potato leaf curl virus	93.7
MO-CS021	FJ969831	begomovirus	Sweet potato mosaic virus	94.52
MO-CS021	KF386015	potyvirus	Sweet potato virus C	94.69
MO-CS021	AM701768	begomovirus	Tomato leaf curl virus	92.25
MO-CS025	FJ560943	badnavirus	Sweet potato badnavirus A	78.52
MO-CS025	KF836892	badnavirus	Sweet potato badnavirus B	94.02
MO-CS025	JQ902104	badnavirus	Sweet potato badnavirus C	83.98
MO-CS025	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.08
MO-CS025	AY523547	potyvirus	Sweet potato feathery mottle virus	97.42
MO-CS025	JN613805	potyvirus	Sweet potato virus G	97.86
MO-CS026	U92531	begomovirus	Bean golden mosaic virus	88.67
MO-CS026	EU839578	begomovirus	Ipomoea yellow vein virus	93.38
MO-CS026	DQ644561	begomovirus	Merremia leaf curl virus	93.47
MO-CS026	FJ560943	badnavirus	Sweet potato badnavirus A	97.15
MO-CS026	FJ560944	badnavirus	Sweet potato badnavirus B	95.26
MO-CS026	JQ902104	badnavirus	Sweet potato badnavirus C	96.53
MO-CS026	GQ268231	begomovirus	Sweet potato begomovirus	93.26
MO-CS026	AF016366	potyvirus	Sweet potato feathery mottle virus	97.57
MO-CS026	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.56
MO-CS026	FJ969832	begomovirus	Sweet potato leaf curl virus	93.86
MO-CS026	FJ969831	begomovirus	Sweet potato mosaic virus	94.08
MO-CS026	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-CS026	JN613807	potyvirus	Sweet potato virus 2	93.54
MO-CS026	JX489166	potyvirus	Sweet potato virus C	96.22
MO-CS026	JN613805	potyvirus	Sweet potato virus G	96.8
MO-CS026	AY459609	potyvirus	Sweet potato virus Y	97.09
MO-CS026	JX416184	begomovirus	Tomato leaf curl virus	86.89
MO-CS047	AJ222705	begomovirus	Cotton leaf curl virus	62.4
MO-CS047	AJ132548	begomovirus	Ipomoea yellow vein virus	92.33
MO-CS047	DQ644561	begomovirus	Merremia leaf curl virus	91.71
MO-CS047	FJ513076	begomovirus	Sida golden mosaic virus	92.09
MO-CS047	KF836892	badnavirus	Sweet potato badnavirus B	98.46
MO-CS047	GQ268230	begomovirus	Sweet potato begomovirus	95.38
MO-CS047	AY523547	potyvirus	Sweet potato feathery mottle virus	97.8
MO-CS047	FJ969830	begomovirus	Sweet potato golden vein associated virus	92.39
MO-CS047	EF154833	begomovirus	Sweet potato leaf curl virus	93.62
MO-CS047	AJ459315	ipomovirus	Sweet potato mild mottle virus	96.38
MO-CS047	FJ969831	begomovirus	Sweet potato mosaic virus	93.05
MO-CS047	GU207957	potyvirus	Sweet potato virus C	93.59
MO-CS064	KF545118	badnavirus	Banana streak virus	80.31
MO-CS064	AM072694	badnavirus	Dioscorea bacilliform virus 1	74.6
MO-CS064	EU839576	begomovirus	Ipomoea yellow vein virus	93.59
MO-CS064	DQ644561	begomovirus	Merremia leaf curl virus	92.85
MO-CS064	AB020977	begomovirus	Soybean crinkle leaf virus	90.71
MO-CS064	FJ560943	badnavirus	Sweet potato badnavirus A	85.15
MO-CS064	FJ560944	badnavirus	Sweet potato badnavirus B	90.63
MO-CS064	JQ902103	badnavirus	Sweet potato badnavirus C	87.45
MO-CS064	GQ268231	begomovirus	Sweet potato begomovirus	96.41
MO-CS064	GU127599	crinivirus	Sweet potato chlorotic stunt virus	94.9
MO-CS064	AY523547	potyvirus	Sweet potato feathery mottle virus	98.08
MO-CS064	HQ393444	begomovirus	Sweet potato golden vein associated virus	93.41
MO-CS064	EF154833	begomovirus	Sweet potato leaf curl virus	94.17
MO-CS064	AJ783452	ipomovirus	Sweet potato mild mottle virus	87.14
MO-CS064	FJ969831	begomovirus	Sweet potato mosaic virus	93.13
MO-CS064	KF386015	potyvirus	Sweet potato virus C	93.21
MO-CS064	AB189847	begomovirus	Tomato leaf curl virus	95.24
MO-CS085	AJ968467	badnavirus	Banana streak virus	80.3
MO-CS085	FJ560943	badnavirus	Sweet potato badnavirus A	78.08
MO-CS085	KF836892	badnavirus	Sweet potato badnavirus B	83.52
MO-CS085	JQ902104	badnavirus	Sweet potato badnavirus C	79.57
MO-CS085	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.38
MO-CS085	FJ155666	potyvirus	Sweet potato feathery mottle virus	91.41
MO-CS090	FJ439783	badnavirus	Sugarcane bacilliform virus	80.8
MO-CS090	FJ560943	badnavirus	Sweet potato badnavirus A	92.42
MO-CS090	FJ560944	badnavirus	Sweet potato badnavirus B	89.49
MO-CS090	JQ902104	badnavirus	Sweet potato badnavirus C	94.88
MO-CS090	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.73
MO-CS090	AF016366	potyvirus	Sweet potato feathery mottle virus	97.36
MO-CS090	Z73124	ipomovirus	Sweet potato mild mottle virus	86.33
MO-CS090	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-CS090	JN613807	potyvirus	Sweet potato virus 2	75.05
MO-CS090	KF386015	potyvirus	Sweet potato virus C	75.07
MO-CS090	JN613805	potyvirus	Sweet potato virus G	92.44
MO-DS025	KF545103	badnavirus	Banana streak virus	80.37
MO-DS025	AJ132548	begomovirus	Ipomoea yellow vein virus	93.32
MO-DS025	FJ560943	badnavirus	Sweet potato badnavirus A	78.65
MO-DS025	KF836892	badnavirus	Sweet potato badnavirus B	86.67
MO-DS025	JQ902104	badnavirus	Sweet potato badnavirus C	86.74
MO-DS025	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.06
MO-DS025	AY523547	potyvirus	Sweet potato feathery mottle virus	98.52
MO-DS025	FJ969830	begomovirus	Sweet potato golden vein associated virus	94.81
MO-DS025	HQ393460	begomovirus	Sweet potato leaf curl virus	95.12
MO-DS025	Z73124	ipomovirus	Sweet potato mild mottle virus	86.98
MO-DS025	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
MO-DS025	KF386015	potyvirus	Sweet potato virus C	94.22
MO-DS025	JN613805	potyvirus	Sweet potato virus G	97.55
MO-DS028	EU839578	begomovirus	Ipomoea yellow vein virus	93.07
MO-DS028	DQ644561	begomovirus	Merremia leaf curl virus	92.44
MO-DS028	FJ560943	badnavirus	Sweet potato badnavirus A	82.07
MO-DS028	KF836892	badnavirus	Sweet potato badnavirus B	93.61
MO-DS028	JQ902104	badnavirus	Sweet potato badnavirus C	90.41
MO-DS028	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.02
MO-DS028	AY523547	potyvirus	Sweet potato feathery mottle virus	98.51
MO-DS028	HQ333143	begomovirus	Sweet potato golden vein associated virus	93.09
MO-DS028	JN657686	begomovirus	Sweet potato leaf curl virus	94.97
MO-DS028	AJ459316	ipomovirus	Sweet potato mild mottle virus	92.83
MO-DS028	FJ969831	begomovirus	Sweet potato mosaic virus	94
MO-DS028	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-DS028	KF386015	potyvirus	Sweet potato virus C	93.88
MO-DS028	JN613805	potyvirus	Sweet potato virus G	94.44
MO-DS048	EU839578	begomovirus	Ipomoea yellow vein virus	91.7
MO-DS048	DQ644561	begomovirus	Merremia leaf curl virus	91.91
MO-DS048	FJ560943	badnavirus	Sweet potato badnavirus A	91.42
MO-DS048	KF836892	badnavirus	Sweet potato badnavirus B	94.29
MO-DS048	JQ902104	badnavirus	Sweet potato badnavirus C	91.97
MO-DS048	EU375898	carlavirus	Sweet potato chlorotic fleck virus	96.67
MO-DS048	AF016366	potyvirus	Sweet potato feathery mottle virus	98.82
MO-DS048	FJ969830	begomovirus	Sweet potato golden vein associated virus	92.73
MO-DS048	JN657686	begomovirus	Sweet potato leaf curl virus	93.9
MO-DS048	Z73124	ipomovirus	Sweet potato mild mottle virus	96.02
MO-DS048	FJ969831	begomovirus	Sweet potato mosaic virus	92.63
MO-DS048	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-DS048	JX489166	potyvirus	Sweet potato virus C	96.61
MO-DS048	JN613805	potyvirus	Sweet potato virus G	97.51
MO-DS048	AB001296	begomovirus	Tobacco leaf curl virus	91.86
MO-DS048	JX416184	begomovirus	Tomato leaf curl virus	89.12
MO-DS051	FN675295	NA	Ageratum leaf curl alphasatellite	87.91
MO-DS051	AM711115	begomovirus	Cotton leaf curl virus	82.54
MO-DS051	EU839578	begomovirus	Ipomoea yellow vein virus	93.97
MO-DS051	DQ644561	begomovirus	Merremia leaf curl virus	93.1
MO-DS051	KF155418	potyvirus	Papaya ringspot virus	82.57
MO-DS051	FJ560943	badnavirus	Sweet potato badnavirus A	95.38
MO-DS051	FJ560944	badnavirus	Sweet potato badnavirus B	94.13
MO-DS051	JQ902104	badnavirus	Sweet potato badnavirus C	95
MO-DS051	AF016366	potyvirus	Sweet potato feathery mottle virus	97.7
MO-DS051	HQ393444	begomovirus	Sweet potato golden vein associated virus	93.11
MO-DS051	EF456743	begomovirus	Sweet potato leaf curl virus	94.85
MO-DS051	Z73124	ipomovirus	Sweet potato mild mottle virus	87.92
MO-DS051	FJ969831	begomovirus	Sweet potato mosaic virus	93.38
MO-DS051	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-DS051	JN613807	potyvirus	Sweet potato virus 2	90.98
MO-DS051	KF386015	potyvirus	Sweet potato virus C	95.07
MO-DS051	JN613805	potyvirus	Sweet potato virus G	92.2
MO-DS051	AY459607	potyvirus	Sweet potato virus Y	95.95
MO-DS062	AJ132548	begomovirus	Ipomoea yellow vein virus	92.23
MO-DS062	DQ644561	begomovirus	Merremia leaf curl virus	92.66
MO-DS062	FJ560943	badnavirus	Sweet potato badnavirus A	88.33
MO-DS062	FJ560944	badnavirus	Sweet potato badnavirus B	90.75
MO-DS062	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.35
MO-DS062	AY523547	potyvirus	Sweet potato feathery mottle virus	98.26
MO-DS062	HQ393444	begomovirus	Sweet potato golden vein associated virus	94.25
MO-DS062	KF836891	begomovirus	Sweet potato leaf curl virus	95.01
MO-DS062	Z73124	ipomovirus	Sweet potato mild mottle virus	86.57
MO-DS062	FJ969831	begomovirus	Sweet potato mosaic virus	95.07
MO-DS070	FN675295	NA	Ageratum leaf curl alphasatellite	90
MO-DS070	FN554582	NA	Cotton leaf curl alphasatellite	75.49
MO-DS070	KM103524	NA	Croton yellow vein mosaic alphasatellite	77.36
MO-DS070	FR772086	NA	"Hollyhock yellow vein virus associated symptomless alphasatellite,"	81.21
MO-DS070	AJ132548	begomovirus	Ipomoea yellow vein virus	93.59
MO-DS070	KC206075	NA	Lantana yellow vein alphasatellite	82.3
MO-DS070	DQ644561	begomovirus	Merremia leaf curl virus	92.08
MO-DS070	AJ512962	NA	Nanovirus	87.55
MO-DS070	HE966420	NA	Okra leaf curl alphasatellite	84.93
MO-DS070	FM164740	NA	Okra leaf curl disease associated DNA 1	85.64
MO-DS070	JQ322970	NA	Papaya leaf curl alphasatellite	90.48
MO-DS070	FJ560943	badnavirus	Sweet potato badnavirus A	97.97
MO-DS070	FJ560944	badnavirus	Sweet potato badnavirus B	94.87
MO-DS070	JQ902104	badnavirus	Sweet potato badnavirus C	95.59
MO-DS070	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	98.05
MO-DS070	AF016366	potyvirus	Sweet potato feathery mottle virus	97.87
MO-DS070	KF803170	begomovirus	Sweet potato golden vein associated virus	93.45
MO-DS070	JN657686	begomovirus	Sweet potato leaf curl virus	94.63
MO-DS070	AJ783451	ipomovirus	Sweet potato mild mottle virus	89.81
MO-DS070	FJ969831	begomovirus	Sweet potato mosaic virus	94.75
MO-DS070	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-DS070	KF386015	potyvirus	Sweet potato virus C	96.13
MO-DS070	JN613805	potyvirus	Sweet potato virus G	96.12
MO-DS070	FN675300	NA	Tomato leaf curl alphasatellite	83.33
MO-DS070	JX416184	begomovirus	Tomato leaf curl virus	87.5
MO-DS070	AJ579358	NA	Tomato yellow leaf curl virus associated DNA 1	89.08
MO-DS083	EU839576	begomovirus	Ipomoea yellow vein virus	93.96
MO-DS083	DQ644561	begomovirus	Merremia leaf curl virus	92.23
MO-DS083	FJ560943	badnavirus	Sweet potato badnavirus A	93.09
MO-DS083	KF836892	badnavirus	Sweet potato badnavirus B	95.78
MO-DS083	JQ902104	badnavirus	Sweet potato badnavirus C	95.6
MO-DS083	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.99
MO-DS083	FJ969829	begomovirus	Sweet potato golden vein associated virus	93.48
MO-DS083	EU650183	begomovirus	Sweet potato leaf curl virus	93.84
MO-DS083	Z73124	ipomovirus	Sweet potato mild mottle virus	87.91
MO-DS083	FJ969831	begomovirus	Sweet potato mosaic virus	91.8
MO-DS083	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MO-DS083	JN613805	potyvirus	Sweet potato virus G	98.07
MW-S002	FJ560943	badnavirus	Sweet potato badnavirus A	77.26
MW-S002	KF836892	badnavirus	Sweet potato badnavirus B	85.93
MW-S002	JQ902104	badnavirus	Sweet potato badnavirus C	84.91
MW-S002	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.04
MW-S002	AY461421	carlavirus	Sweet potato chlorotic fleck virus	90.77
MW-S002	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.44
MW-S002	JX489166	potyvirus	Sweet potato virus C	93.04
MW-S003	FJ560943	badnavirus	Sweet potato badnavirus A	79.03
MW-S003	KF836892	badnavirus	Sweet potato badnavirus B	86.97
MW-S003	JQ902104	badnavirus	Sweet potato badnavirus C	90.14
MW-S003	EU375898	carlavirus	Sweet potato chlorotic fleck virus	94.36
MW-S003	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.38
MW-S003	AB439206	potyvirus	Sweet potato feathery mottle virus	94.58
MW-S004	FJ560943	badnavirus	Sweet potato badnavirus A	86.01
MW-S004	FJ560944	badnavirus	Sweet potato badnavirus B	92.61
MW-S004	JQ902104	badnavirus	Sweet potato badnavirus C	86.46
MW-S004	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.99
MW-S004	AY461421	carlavirus	Sweet potato chlorotic fleck virus	95.63
MW-S004	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.85
MW-S004	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
MW-S004	HQ694979	solendovirus	Sweet potato vein clearing virus	90.65
MW-S004	GU207957	potyvirus	Sweet potato virus C	93.1
MW-S011	FJ560943	badnavirus	Sweet potato badnavirus A	77.19
MW-S011	KF836892	badnavirus	Sweet potato badnavirus B	84.59
MW-S011	JQ902104	badnavirus	Sweet potato badnavirus C	82.5
MW-S011	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.97
MW-S011	EU375898	carlavirus	Sweet potato chlorotic fleck virus	97.23
MW-S011	EF155974	potyvirus	Sweet potato feathery mottle virus	96.5
MW-S012	FJ560943	badnavirus	Sweet potato badnavirus A	78.11
MW-S012	KF836892	badnavirus	Sweet potato badnavirus B	83.99
MW-S012	JQ902104	badnavirus	Sweet potato badnavirus C	79.25
MW-S012	HQ694978	cavemovirus	Sweet potato caulimo-like virus	98.2
MW-S012	EU375898	carlavirus	Sweet potato chlorotic fleck virus	97.09
MW-S012	EF155974	potyvirus	Sweet potato feathery mottle virus	96.22
MW-S012	FJ969830	begomovirus	Sweet potato golden vein associated virus	92.15
MW-S012	HQ333142	begomovirus	Sweet potato leaf curl virus	94.08
MW-S028	JQ902103	badnavirus	Sweet potato badnavirus C	95
MW-S028	EU375898	carlavirus	Sweet potato chlorotic fleck virus	96.83
MW-S028	AB465608	potyvirus	Sweet potato feathery mottle virus	95.53
MW-S029	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.74
MW-S029	EU375898	carlavirus	Sweet potato chlorotic fleck virus	97.32
